,type,value,start,end,name,createdAt,instanceId,id
276,Measurement,21,,,agent.ping.roundtriptime,2022-01-23T20:59:03,pop-os,32665
277,Measurement,18,,,agent.ping.roundtriptime,2022-01-23T20:59:01,pop-os,32664
278,Measurement,0,2022-01-23T20:43:39,2022-01-23T20:59:01,agent.ping.average.failure,2022-01-23T20:59:01,pop-os,32663
279,Counter,15909,,,agent.ping.count,2022-01-23T20:59:01,pop-os,32659
280,Measurement,14,,,agent.ping.roundtriptime,2022-01-23T20:58:59,pop-os,32662
281,Counter,15908,,,agent.ping.count,2022-01-23T20:58:59,pop-os,32658
282,Measurement,28,,,agent.ping.roundtriptime,2022-01-23T20:58:57,pop-os,32661
283,Counter,15907,,,agent.ping.count,2022-01-23T20:58:57,pop-os,32657
284,Measurement,28,,,agent.ping.roundtriptime,2022-01-23T20:58:55,pop-os,32660
285,Counter,15906,,,agent.ping.count,2022-01-23T20:58:55,pop-os,32656
286,Measurement,18,,,agent.ping.roundtriptime,2022-01-23T20:58:53,pop-os,32655
287,Counter,15905,,,agent.ping.count,2022-01-23T20:58:53,pop-os,32650
288,Measurement,12,,,agent.ping.roundtriptime,2022-01-23T20:58:50,pop-os,32654
289,Counter,15904,,,agent.ping.count,2022-01-23T20:58:50,pop-os,32649
290,Measurement,16,,,agent.ping.roundtriptime,2022-01-23T20:58:48,pop-os,32653
291,Counter,15903,,,agent.ping.count,2022-01-23T20:58:48,pop-os,32648
292,Measurement,22,,,agent.ping.roundtriptime,2022-01-23T20:58:46,pop-os,32652
293,Counter,15902,,,agent.ping.count,2022-01-23T20:58:46,pop-os,32647
294,Measurement,15,,,agent.ping.roundtriptime,2022-01-23T20:58:44,pop-os,32651
295,Counter,15901,,,agent.ping.count,2022-01-23T20:58:44,pop-os,32646
296,Measurement,14,,,agent.ping.roundtriptime,2022-01-23T20:58:42,pop-os,32645
297,Counter,15900,,,agent.ping.count,2022-01-23T20:58:42,pop-os,32640
298,Measurement,12,,,agent.ping.roundtriptime,2022-01-23T20:58:40,pop-os,32644
299,Measurement,0,2022-01-23T20:43:39,2022-01-23T20:58:40,agent.ping.average.failure,2022-01-23T20:58:40,pop-os,32643
300,Counter,15899,,,agent.ping.count,2022-01-23T20:58:40,pop-os,32639
301,Measurement,1,,,pop-os.heartbeat,2022-01-23T20:58:39,pop-os,32635
302,Measurement,16,,,agent.ping.roundtriptime,2022-01-23T20:58:38,pop-os,32642
303,Counter,15898,,,agent.ping.count,2022-01-23T20:58:38,pop-os,32638
304,Measurement,12,,,agent.ping.roundtriptime,2022-01-23T20:58:36,pop-os,32641
305,Counter,15897,,,agent.ping.count,2022-01-23T20:58:36,pop-os,32637
306,Counter,15896,,,agent.ping.count,2022-01-23T20:58:34,pop-os,32636
307,Measurement,46,,,agent.ping.roundtriptime,2022-01-23T20:58:34,pop-os,32634
308,Measurement,11,,,agent.ping.roundtriptime,2022-01-23T20:58:32,pop-os,32633
309,Counter,15895,,,agent.ping.count,2022-01-23T20:58:32,pop-os,32629
310,Measurement,18,,,agent.ping.roundtriptime,2022-01-23T20:58:30,pop-os,32632
311,Counter,15894,,,agent.ping.count,2022-01-23T20:58:30,pop-os,32628
312,Measurement,13,,,agent.ping.roundtriptime,2022-01-23T20:58:28,pop-os,32631
313,Counter,15893,,,agent.ping.count,2022-01-23T20:58:28,pop-os,32627
314,Measurement,16,,,agent.ping.roundtriptime,2022-01-23T20:58:26,pop-os,32630
315,Counter,15892,,,agent.ping.count,2022-01-23T20:58:26,pop-os,32626
316,Counter,15891,,,agent.ping.count,2022-01-23T20:58:24,pop-os,32625
317,Measurement,13,,,agent.ping.roundtriptime,2022-01-23T20:58:24,pop-os,32624
